"caseid_new","w4_xqualified","w4_status","w4_complete","w4_source","w4_duration","w4_HCMST_interview_fin_yrmo","w4_xtype","w4_xyear","w4_xmonth","w4_xmarry","w4_xlast","w4_xwave1_month","w4_xcivil","w4_xss","w4_q1","w4_q2","w4_quality","w4_attractive","w4_attractive_partner","w4_q3","w4_q4","w4_mbtiming_year","w4_mbtiming_month","w4_q5","w4_q6","w4_q7","w4_mar_year","w4_mar_month","w4_civ_year","w4_q8_a","w4_q8_b","w4_q9","w4_q10","w4_nonmbtiming_year","w4_nonmbtiming_month","relationship_quality_w4","w4_broke_up","w234_combo_breakup","pp4_ppeduc","pp4_ppeducat","pp4_ppethm","pp4_pphhhead","pp4_pphhsize","pp4_pphouse","pp4_ppincimp","pp4_ppmarit","pp4_ppmsacat","pp4_ppreg4","pp4_ppreg9","pp4_pprent","pp4_ppt01","pp4_ppt25","pp4_ppt612","pp4_ppt1317","pp4_ppt18ov","pp4_ppwork","pp4_ppnet","pp4_ppcmdate_yrmo","pp4_newer","ppa2009_services_yrmo","ppa2009_how_often_services"
689556,1,3,0,0,0,0,1,2010,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,4,0,2,3,9,6,1,4,9,1,0,0,0,0,2,6,1,200904,0,200902,2
690195,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,3,3,1,3,1,16,5,1,4,9,1,0,0,0,0,3,1,1,201305,1,200902,2
691395,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,1,1,3,14,5,1,3,5,2,0,0,0,0,1,1,1,201305,1,200903,0
692321,1,2,0,0,0,0,2,2011,5,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,1,5,1,13,1,0,3,5,1,0,0,2,0,3,2,1,201010,0,200903,6
693365,1,2,1,1,2,201303,2,2011,4,1,2,2,0,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,4,3,1,1,3,19,1,1,4,9,2,0,0,0,0,1,7,1,201207,1,200905,5
694703,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,1,1,2,11,3,1,3,5,1,0,0,0,0,1,5,1,201306,1,200905,4
695592,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,1,1,1,1,17,2,1,3,5,1,0,0,0,0,1,1,1,201305,1,200905,2
696413,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,1,1,2,1,18,1,1,3,6,1,0,0,0,0,2,2,1,201007,0,200903,2
697396,1,1,1,1,5,201303,2,2011,4,1,2,2,0,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,3,1,1,2,1,13,1,1,3,6,1,0,0,0,0,2,1,1,201305,1,200903,5
698271,1,1,1,1,1,201303,2,2011,4,1,2,2,0,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,3,1,0,3,3,8,1,1,2,3,1,1,0,0,0,2,1,1,201306,1,200902,4
699762,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,1,3,2,2,1,1,1,2,0,0,0,0,1,6,1,200906,0,200904,4
700396,1,1,1,1,3,201304,1,2011,4,2,2,2,0,1,0,0,1,2,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,5,0,0,13,4,1,1,2,1,16,6,1,3,5,1,0,0,0,0,2,1,1,201306,1,200905,4
